,sent1,sent2,label
87,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,NEUTRAL
88,The blond girl is dancing in front of the sound equipment,There is no girl in white dancing,NEUTRAL
89,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,CONTRADICTION
90,Three Asian kids are dancing and a man is looking,An Asian man is dancing and three kids are looking,NEUTRAL
91,The children of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,NEUTRAL
92,The children of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,NEUTRAL
93,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,NEUTRAL
94,A woman is wearing an Egyptian hat on her head,A woman is wearing an Egyptian headdress,ENTAILMENT
95,A woman is wearing an Egyptian headdress,A woman is wearing an Indian headdress,NEUTRAL
96,The black woman is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,NEUTRAL
97,A woman is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,NEUTRAL
98,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,CONTRADICTION
99,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,CONTRADICTION
100,A hiker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,NEUTRAL
101,A hiker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,NEUTRAL
102,A man is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,NEUTRAL
103,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,NEUTRAL
104,The brown horse is very near a red barrel at the rodeo,The brown horse is near a red barrel at the rodeo,ENTAILMENT
105,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,CONTRADICTION
106,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,NEUTRAL
107,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,NEUTRAL
108,A boy is standing in the cold water,A boy is standing in the water,ENTAILMENT
109,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,CONTRADICTION
110,A boy is standing in the water,The kid is swimming through the blue ocean,NEUTRAL
111,The boy is wading through the blue ocean,A boy is standing in the cold water,NEUTRAL
112,A man is playing a guitar on stage,There is no man playing a guitar on stage,CONTRADICTION
113,A man is playing a guitar on stage,A guitarist has blonde and flyaway hair,NEUTRAL
114,A man is playing a guitar on stage,A bald person is playing a guitar,NEUTRAL
115,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,NEUTRAL
116,Several children are sitting down and have their knees raised,Several children are lying down and are raising their knees,NEUTRAL
117,Two young girls are sitting on the ground,Two girls are sitting on the ground,ENTAILMENT
118,Two girls are lying on the ground,Several children are sitting down and have their knees raised,NEUTRAL
119,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,CONTRADICTION
120,A nude lady is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,NEUTRAL
121,"A young, topless woman is covered in paint",A topless girl is covered in paint,ENTAILMENT
122,A nude lady is walking in front of a crowd in body paint,A topless girl is covered in paint,ENTAILMENT
123,A nude crowd in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",NEUTRAL
124,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",NEUTRAL
125,A group of people is near the ocean,A crowd of people is near the water,ENTAILMENT
126,A crowd of people is near the water,A crowd of people is far from the water,CONTRADICTION
127,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,ENTAILMENT
128,A group of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,NEUTRAL
129,A man is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,NEUTRAL
130,A man is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,NEUTRAL
131,A man is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,NEUTRAL
132,A group of people is on a beach,A group of people is near the sea,ENTAILMENT
133,A group of people is on a beach,A group of people is on a mountain,NEUTRAL
134,"A man, a woman and two girls are walking on the beach",Four people are walking on the beach,ENTAILMENT
135,A group of people is on a beach,Four people are walking on the beach,NEUTRAL
136,"A man, a woman and two girls are walking on the beach",A group of people is on a mountain,NEUTRAL
137,"A man, a woman and two girls are walking on the beach",A group of people is on a beach,ENTAILMENT
138,A schoolgirl with a black bag is on a crowded train,A girl with a black bag is on a crowded train,ENTAILMENT
139,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,CONTRADICTION
140,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,NEUTRAL
141,An Asian woman in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,NEUTRAL
142,A girl with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,NEUTRAL
143,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,NEUTRAL
144,A dog is chasing another and is holding a stick in its mouth,A dog is chasing another and is holding a piece of wood in its mouth,ENTAILMENT
145,Two dogs are running and carrying a toy in their mouths,Two dogs are running and carrying an object in their mouths,ENTAILMENT
146,A dog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,NEUTRAL
147,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,NEUTRAL
148,A dog is chasing another and is holding a stick in its mouth,Two dogs are running and carrying an object in their mouths,ENTAILMENT
149,A dirty soccer ball is rolling into a goal net,A soccer ball is rolling into a goal net,ENTAILMENT
150,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,CONTRADICTION
151,A person who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,NEUTRAL
152,A soccer ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,NEUTRAL
153,A soccer ball is rolling into a goal net,A soccer player is kicking a ball into the goal,NEUTRAL
154,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,CONTRADICTION
155,A man with tattoos is lounging on a couch and holding a pencil,A tattooed man is on a sofa and is holding a pencil,ENTAILMENT
156,A man with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,NEUTRAL
157,A man with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,NEUTRAL
158,A man is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,NEUTRAL
159,A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,NEUTRAL
160,A man is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,NEUTRAL
161,A man with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,NEUTRAL
162,A man with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,NEUTRAL
163,A brown and white dog is running through the tall grass,A black and tan dog is running through the low and green grass,NEUTRAL
164,A white and tan dog is running through the tall and green grass,A brown and white dog is running through the tall grass,ENTAILMENT
165,A man with paint covered clothes is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,ENTAILMENT
166,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,CONTRADICTION
167,A sitting man is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,NEUTRAL
168,A man is sitting near a bike and is writing a note,There is no man writing a note near a bike,CONTRADICTION
169,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,NEUTRAL
170,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,NEUTRAL
171,A man is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,NEUTRAL
172,A group of scouts are camping in the grass,A group of scouts are hiking through the grass,NEUTRAL
173,Some people are walking,People are walking,ENTAILMENT
174,Some people are walking,A group of scouts are camping in the grass,NEUTRAL
175,A group of scouts are hiking through the grass,Some people are walking,ENTAILMENT
176,Two men are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,NEUTRAL
177,Two men with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,NEUTRAL
178,Two men are holding fishing poles and fishing tackle,Two men are holding fishing poles,ENTAILMENT
179,Two men are not holding fishing poles,Two men are holding fishing poles,CONTRADICTION
180,Two men are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,NEUTRAL
181,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,NEUTRAL
182,The helmeted girl is riding a bike,The helmeted girl is perching on a bike,NEUTRAL
183,A woman is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,NEUTRAL
184,A woman is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,NEUTRAL
185,The helmeted girl is perching on a bike,A woman is performing a trick on a ramp with a car,NEUTRAL
186,The girl with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,NEUTRAL
187,The helmeted girl is riding a bike,A woman is performing a trick on a ramp with a bicycle,NEUTRAL
188,A woman is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,NEUTRAL
189,A blonds girl is surfing,A blond girl is riding the waves,ENTAILMENT
190,A lady is surfing and riding a wave,A boy is surfing and riding a wave,NEUTRAL
191,A woman is surfing,A blond girl is riding the waves,NEUTRAL
192,A lady is surfing and riding a wave,A blonds girl is surfing,NEUTRAL
193,A blond girl waves while she is riding,A lady is surfing and riding a wave,NEUTRAL
194,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,CONTRADICTION
195,Two children and an adult are standing next to a tree limb,Two children are climbing a tree,NEUTRAL
196,Two children and an adult are standing next to a tree limb,Two children are hanging on a large branch,NEUTRAL
197,A man dressed in black is riding a bike,A man is performing a trick on a bike,NEUTRAL
198,A man is performing stunts on a green bicycle,A man is performing a trick on a green bicycle,ENTAILMENT
199,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,NEUTRAL
200,A boy is holding a squirt gun,A child is holding a squirt gun,ENTAILMENT
201,A laughing child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,NEUTRAL
202,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,CONTRADICTION
203,A child with a gun that sprays water is laughing and getting hit by other boys,A child is holding a squirt gun,ENTAILMENT
204,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,NEUTRAL
205,Two cats are playing with a red ball,Two daschunds are playing with a red ball,NEUTRAL
206,Two brown dogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,NEUTRAL
207,There is no dog playing with a red ball,Two daschunds are playing with a red ball,CONTRADICTION
208,The black and white dog is running and a person stands behind it,"The dog, which is black and white, is running and a person stands behind it",ENTAILMENT
209,A little dog is sprinting and the person who owns it is trying to catch it,A little dog is sprinting and its owner is trying to catch it,ENTAILMENT
210,The black and white dog is running and a person stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,NEUTRAL
211,The black and white dog is running and a person stands behind it,A little dog is slowing down and the owner is quitting chasing it,NEUTRAL
212,The black and white dog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,NEUTRAL
213,A black person is running along a white stand and a dog barks behind him,A little dog is sprinting and its owner is trying to catch it,NEUTRAL
214,A man wearing a dyed black shirt is sitting at the table and laughing,A black shirt is being worn by a man who is sitting at the table and laughing,ENTAILMENT
215,A man wearing a dyed black shirt is sitting at the table and laughing,"There is no man wearing a shirt dyed black, sitting at the table and laughing",CONTRADICTION
216,A laughing man is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,NEUTRAL
217,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,NEUTRAL
218,A man is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,NEUTRAL
219,A man is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,NEUTRAL
220,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,ENTAILMENT
221,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,NEUTRAL
222,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",NEUTRAL
223,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",NEUTRAL
224,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",NEUTRAL
225,"A person, who is riding a bike, is wearing gear which is black",A biker is wearing gear which is black,ENTAILMENT
226,A biker is naked,A biker is wearing gear which is black,CONTRADICTION
227,A black helmet is being worn by a man who is pushing a bicycle,One man is wearing a black helmet and pushing a bicycle,ENTAILMENT
228,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,NEUTRAL
229,One man is wearing a black helmet and pushing a bicycle,A biker is naked,NEUTRAL
230,The man in a grey t-shirt is sitting on a rock in front of the waterfall,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,ENTAILMENT
231,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,CONTRADICTION
232,A woman is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,NEUTRAL
233,A woman is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,NEUTRAL
234,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,NEUTRAL
235,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,NEUTRAL
236,A woman is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,NEUTRAL
237,"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,CONTRADICTION
238,A black man is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",NEUTRAL
239,A dark black dog and a light brown dog are playing in the yard in the back,A dark black dog and a light brown dog are playing in the backyard,ENTAILMENT
240,A dark black dog and a light brown dog are playing in the yard in the back,"A dog, which is brown, and a black one are running in the grass",NEUTRAL
241,A dark black dog and a light brown dog are fighting in the backyard,"A dog, which is brown, and a black one are running in the grass",NEUTRAL
242,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,NEUTRAL
243,A dark black dog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,NEUTRAL
244,A dog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,NEUTRAL
245,A white and brown dog is walking through the water with difficulty,A white and brown dog is pacing through the water with difficulty,ENTAILMENT
246,A group of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,NEUTRAL
247,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,NEUTRAL
248,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,ENTAILMENT
249,The children are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,NEUTRAL
250,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",NEUTRAL
251,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",NEUTRAL
252,A teenage girl is storing away beads that are red,A teenage girl is wearing beads that are red,NEUTRAL
253,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",ENTAILMENT
254,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",CONTRADICTION
255,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",NEUTRAL
256,"A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,NEUTRAL
257,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",The teenage girl is wearing beads that are red,NEUTRAL
258,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",NEUTRAL
259,A fearful little boy is on a climbing wall,A fearful little boy is on the ground,NEUTRAL
260,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,NEUTRAL
261,A fearful little boy is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,NEUTRAL
262,A boy is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,NEUTRAL
263,A dad is launching his daughter into a swimming pool,A father is launching the daughter in a swimming pool,ENTAILMENT
264,A father is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,NEUTRAL
265,The man is tossing a kid into the swimming pool that is near the ocean,One man is tossing a kid into the swimming pool that is near the ocean,ENTAILMENT
266,The man is tossing a kid into the swimming pool that is near the ocean,"A kid swimming in the ocean is tossing a coin into the pool, near the man",NEUTRAL
267,One man is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,NEUTRAL
268,"A kid swimming in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,NEUTRAL
269,A father is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,NEUTRAL
270,A father is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,NEUTRAL
271,A social climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope,NEUTRAL
272,"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",NEUTRAL
273,"A rock is being climbed by a person with a rope, which is pink",One man is climbing a cliff with a rope,ENTAILMENT
274,One man is climbing a cliff with a rope,"A person is standing in front of a rock with a rope, which is pink",NEUTRAL
275,"A person is climbing a rock with a rope, which is pink",One man is climbing the cliff with a rope,ENTAILMENT
276,"A person is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope,NEUTRAL
277,"A person is climbing a rock with a rope, which is pink",A social climber is tying a man to a cliff with a rope,NEUTRAL
278,A young boy isn't climbing a wall made of rock,The young boy is climbing the wall made of rock,CONTRADICTION
279,A young child is climbing a rock climbing wall which is indoors,A young kid is climbing a rock climbing wall which is indoors,ENTAILMENT
280,A young child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,NEUTRAL
281,A child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,NEUTRAL
282,One young boy is climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,NEUTRAL
283,A young climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,NEUTRAL
284,The cyclist is performing a trick in the air,The cyclist isn't performing a trick in the air,CONTRADICTION
285,One man is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air,NEUTRAL
286,One man is doing a bicycle trick in midair,The air is tricking a performing cyclist,NEUTRAL
287,"A dog, which is black, and a white one are staring at each other in the street","A dog, which is black, and another one, which is white, are staring at each other in the street",ENTAILMENT
288,"A dog, which is black, and a white one are staring at each other in the street",One white dog is staring at the black street,NEUTRAL
289,Two dogs of different breeds are looking angrily at each other across a street,Two dogs of different breeds are looking at each other across a street,ENTAILMENT
290,Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,CONTRADICTION
291,"A dog, which is black, and another one, which is white, are staring at each other in the street",Two dogs of different breeds are looking at each other across a street,NEUTRAL
